# t, posx, posy, posz, dirx, diry, dirz, fov, n, f
+0.000000E+00 +0.000000E+00 +2.500000E+04 +2.500000E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.350000E+02 +1.000000E+02 +5.000000E+03
+2.000000E-02 +2.574842E+02 +2.519890E+04 +2.499172E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.340580E+02 +1.000000E+02 +5.000000E+03
+4.000000E-02 +5.132736E+02 +2.539561E+04 +2.498353E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.331219E+02 +1.000000E+02 +5.000000E+03
+6.000000E-02 +7.673734E+02 +2.559013E+04 +2.497545E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.321917E+02 +1.000000E+02 +5.000000E+03
+8.000000E-02 +1.019789E+03 +2.578248E+04 +2.496746E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.312674E+02 +1.000000E+02 +5.000000E+03
+1.000000E-01 +1.270525E+03 +2.597265E+04 +2.495958E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.303489E+02 +1.000000E+02 +5.000000E+03
+1.200000E-01 +1.519587E+03 +2.616066E+04 +2.495179E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.294364E+02 +1.000000E+02 +5.000000E+03
+1.400000E-01 +1.766981E+03 +2.634651E+04 +2.494409E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.285297E+02 +1.000000E+02 +5.000000E+03
+1.600000E-01 +2.012710E+03 +2.653021E+04 +2.493650E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.276288E+02 +1.000000E+02 +5.000000E+03
+1.800000E-01 +2.256782E+03 +2.671177E+04 +2.492900E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.267337E+02 +1.000000E+02 +5.000000E+03
+2.000000E-01 +2.499200E+03 +2.689120E+04 +2.492160E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.258445E+02 +1.000000E+02 +5.000000E+03
+2.200000E-01 +2.739970E+03 +2.706850E+04 +2.491429E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.249610E+02 +1.000000E+02 +5.000000E+03
+2.400000E-01 +2.979098E+03 +2.724367E+04 +2.490708E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.240833E+02 +1.000000E+02 +5.000000E+03
+2.600000E-01 +3.216587E+03 +2.741674E+04 +2.489997E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.232114E+02 +1.000000E+02 +5.000000E+03
+2.800000E-01 +3.452445E+03 +2.758769E+04 +2.489295E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.223452E+02 +1.000000E+02 +5.000000E+03
+3.000000E-01 +3.686675E+03 +2.775655E+04 +2.488602E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.214847E+02 +1.000000E+02 +5.000000E+03
+3.200000E-01 +3.919283E+03 +2.792332E+04 +2.487919E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.206300E+02 +1.000000E+02 +5.000000E+03
+3.400000E-01 +4.150275E+03 +2.808800E+04 +2.487246E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.197809E+02 +1.000000E+02 +5.000000E+03
+3.600000E-01 +4.379654E+03 +2.825060E+04 +2.486581E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.189376E+02 +1.000000E+02 +5.000000E+03
+3.800000E-01 +4.607428E+03 +2.841113E+04 +2.485926E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.180999E+02 +1.000000E+02 +5.000000E+03
+4.000000E-01 +4.833600E+03 +2.856960E+04 +2.485280E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.172678E+02 +1.000000E+02 +5.000000E+03
+4.200000E-01 +5.058176E+03 +2.872601E+04 +2.484643E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.164414E+02 +1.000000E+02 +5.000000E+03
+4.400000E-01 +5.281162E+03 +2.888038E+04 +2.484016E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.156206E+02 +1.000000E+02 +5.000000E+03
+4.600000E-01 +5.502561E+03 +2.903270E+04 +2.483397E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.148055E+02 +1.000000E+02 +5.000000E+03
+4.800000E-01 +5.722381E+03 +2.918299E+04 +2.482788E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.139959E+02 +1.000000E+02 +5.000000E+03
+5.000000E-01 +5.940625E+03 +2.933125E+04 +2.482188E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.131919E+02 +1.000000E+02 +5.000000E+03
+5.200000E-01 +6.157299E+03 +2.947749E+04 +2.481596E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.123934E+02 +1.000000E+02 +5.000000E+03
+5.400000E-01 +6.372409E+03 +2.962172E+04 +2.481014E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.116005E+02 +1.000000E+02 +5.000000E+03
+5.600000E-01 +6.585958E+03 +2.976394E+04 +2.480440E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.108132E+02 +1.000000E+02 +5.000000E+03
+5.800000E-01 +6.797954E+03 +2.990417E+04 +2.479876E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.100313E+02 +1.000000E+02 +5.000000E+03
+6.000000E-01 +7.008400E+03 +3.004240E+04 +2.479320E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.092550E+02 +1.000000E+02 +5.000000E+03
+6.200000E-01 +7.217302E+03 +3.017865E+04 +2.478773E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.084841E+02 +1.000000E+02 +5.000000E+03
+6.400000E-01 +7.424666E+03 +3.031292E+04 +2.478235E+04 +1.000000E+00 +0.000000E+00 +0.000000E+00 +1.077187E+02 +1.000000E+02 +5.000000E+03
